id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464863891787_56264244887883	221.00 CZK		
shopify_ZZ_15464863924555_56264244920651	178.00 CZK		
shopify_ZZ_15464881619275_56264259699019	249.00 CZK		
shopify_ZZ_15464881783115_56264259797323	404.00 CZK	355.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464881881419_56264259862859	158.00 CZK		
shopify_ZZ_15464882045259_56264259961163	1457.00 CZK	1049.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882176331_56264260059467	9073.00 CZK	6986.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882241867_56264260092235	9831.00 CZK	8682.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882307403_56264260157771	3494.00 CZK	2798.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882405707_56264260583755	3211.00 CZK	2504.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882471243_56264260616523	2920.00 CZK	2414.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882504011_56264260649291	2763.00 CZK	2220.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882602315_56264260682059	3899.00 CZK	2842.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882733387_56264260747595	2483.00 CZK	1832.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882864459_56264260813131	269.00 CZK		
shopify_ZZ_15464882962763_56264260845899	562.00 CZK	325.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464882995531_56264260878667	258.00 CZK		
shopify_ZZ_15464883126603_56264260944203	439.00 CZK		
shopify_ZZ_15464883159371_56264260976971	545.00 CZK		
shopify_ZZ_15464883224907_56264261009739	183.00 CZK		
shopify_ZZ_15464883290443_56264261042507	230.00 CZK		
shopify_ZZ_15464883421515_56264261075275	272.00 CZK		
shopify_ZZ_15464883487051_56264261108043	203.00 CZK		
shopify_ZZ_15464883519819_56264261140811	161.00 CZK		
shopify_ZZ_15464883618123_56264261173579	470.00 CZK		
shopify_ZZ_15464883716427_56264261599563	1917.00 CZK		
